Norma,Data de publicação,Ementa,Órgão de origem,Assuntos,Texto Integral,Tipo,Filename
RES - RESOLUÇÃO 051/1998,27/02/1998,"Aprova os valores apresentados pela Companhia Energética de Pernambuco - CELPE, em sua Prestação Anual de Contas, do exercício de 1996.",ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res1998051.pdf,RES,res1998051.pdf
RES - RESOLUÇÃO 052/2002,01/02/2002,"Homologa as tarifas de energia elétrica, vinculadas aos montantes de energia e demanda de potência entre a Duke Energy Internacional, Geração Paranapanema e as concessionárias especificadas.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002052.pdf,RES,res2002052.pdf
RES - RESOLUÇÃO 052/2001,08/02/2001,"Autoriza, para fins de regularização, a Indústria de Material Bélico do Brasil - IMBEL, a estabelecer-se como Produtor Independente de Energia Elétrica, mediante a exploração do potencial hidráulico Pequena Central Hidrelétrica Rede Elétrica Piquete - Itajubá - REPI, no rio Bicas, município de Wenceslau Braz, (MG), para comercialização da energia elétrica produzida.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2001052.pdf,RES,res2001052.pdf
RES - RESOLUÇÃO 052/2000,18/02/2000,"Revoga a autorização concedida à Centrais Elétricas de Rondônia S.A - CERON, para estabelecer a Usina Termelétrica Alta Floresta, município de Alta Floresta do Oeste, (RO).",ANEEL,"Revogação 
 ",http://www.aneel.gov.br/cedoc/res2000052.pdf,RES,res2000052.pdf
RES - RESOLUÇÃO 052/1998,27/02/1998,"Aprova os valores apresentados pelo Departamento Municipal de Eletricidade  de Poços de Caldas - DME, em sua Prestação Anual de Contas, do exercício de 1996.",ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res1998052.pdf,RES,res1998052.pdf
RES - RESOLUÇÃO 053/2003,03/02/2003,"Homologa as tarifas de fornecimento de energia elétrica, e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE e as Tarifas de Uso dos Sistemas de Distribuição - TUSD, para o período fevereiro de 2003 a janeiro de 2004, para a Companhia Luz e Força de Mococa - CLFM.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003053.pdf,RES,res2003053.pdf
RES - RESOLUÇÃO 053/2002,01/02/2002,"Homologa as tarifas de fornecimento de energia elétrica, estabelece a receita anual referente à instalações de conexão e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE, para o período fevereiro de 2002 a janeiro de 2003, para a Empresa Elétrica Bragantina S.A - EEB, e revoga o valor da TFSEE para a mesma, fixado pelo Despacho SRE/ANEEL 1.044 de 26.12.2001.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002053.pdf,RES,res2002053.pdf
RES - RESOLUÇÃO 054/2003,03/02/2003,"Homologa as tarifas de energia elétrica, vinculadas aos montantes de energia e demanda de potência estabelecidos entre a Duke Energy International, Geração Paranapanema S.A e as concessionárias especificadas.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003054.pdf,RES,res2003054.pdf
RES - RESOLUÇÃO 053/2000,23/02/2000,"Declara de utilidade pública para fins de instituição de servidão administrativa, em favor da Espírito Santo Centrais Elétricas S.A - ESCELSA, área de terra necessária a implantação da linha de transmissão Ramal, para a subestação CEASA, no município de Cariacica, (ES).",ANEEL,"Declaração 
 ",http://www.aneel.gov.br/cedoc/res2000053.pdf,RES,res2000053.pdf
RES - RESOLUÇÃO 054/2002,01/02/2002,"Homologa as tarifas de energia elétrica, vinculadas aos montantes de energia e demanda de potência entre a Companhia Jaguari de Energia - CJE e a Companhia Paulista de Energia Elétrica - CPEE.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002054.pdf,RES,res2002054.pdf
RES - RESOLUÇÃO 053/1998,27/02/1998,"Publica os valores relativos aos royalties devidos pela ITAIPU Binacional ao Brasil, da competência do mês de novembro de 1997.",ANEEL,"Valor 
 ",http://www.aneel.gov.br/cedoc/res1998053.pdf,RES,res1998053.pdf
RES - RESOLUÇÃO 054/1998,27/02/1998,"Publica os valores relativos à compensação financeira pela utilização de recursos hídricos, referentes à competência do mês de novembro de 1997.",ANEEL,"Valor 
 ",http://www.aneel.gov.br/cedoc/res1998054.pdf,RES,res1998054.pdf
RES - RESOLUÇÃO 055/2003,03/02/2003,"Homologa as tarifas de compra e venda de energia elétrica, vinculadas aos montantes de energia e demanda de potência estabelecidos entre a Companhia Energética de Minas Gerais - CEMIG e a Empresa Elétrica Bragantina S.A - EEB.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003055.pdf,RES,res2003055.pdf
RES - RESOLUÇÃO 055/2002,01/02/2002,"Homologa as tarifas de fornecimento de energia elétrica, fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE, para o período fevereiro de 2002 a janeiro de 2003, para a Companhia Jaguari de Energia - CJE, e revoga o valor da TFSEE para a mesma, fixado pelo Despacho SRE/ANEEL 1.044 de 26.12.2001.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002055.pdf,RES,res2002055.pdf
RES - RESOLUÇÃO 055/2000,01/03/2000,"Fixa as tarifas de energia elétrica no curto prazo a serem praticadas pelos concessionários e autorizados integrantes do sistema elétrico interligado, com base no Custo Marginal Mensal da Operação.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res2000055.pdf,RES,res2000055.pdf
RES - RESOLUÇÃO 055/1998,03/03/1998,Fixa o valor da parcela relativa a quota anual de reversão referente ao mês de fevereiro de 1998.,ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res1998055.pdf,RES,res1998055.pdf
REN - RESOLUÇÃO NORMATIVA 056/2004,07/04/2004,"Estabelece os procedimentos para acesso das centrais geradoras participantes do  Programa de Incentivo às Fontes Alternativas de Energia Elétrica - PROINFA, regulamentando o art. 3º, parág. 5º da Lei 10.438 de 26.04.2002, incluído pela Lei 10.762 de 11.11.2003, e regulamentado pelo Decreto 5.025 de 30.03.2004.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ren2004056.pdf,REN,ren2004056.pdf
RES - RESOLUÇÃO 056/2003,03/02/2003,"Homologa as tarifas de compra e venda de energia elétrica, vinculadas aos montantes de energia e demanda de potência estabelecidos entre a Companhia Jaguari de Energia - CJE e a Companhia Paulista de Energia Elétrica - CPEE.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003056.pdf,RES,res2003056.pdf
RES - RESOLUÇÃO 056/2002,01/02/2002,"Homologa as tarifas de fornecimento de energia elétrica, fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE, para o período fevereiro de 2002 a janeiro de 2003, para a Companhia Luz e Força de Mococa - CLFM, e revoga o valor da TFSEE para a mesma, fixado pelo Despacho SRE/ANEEL 1.044 de 26.12.2001.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002056.pdf,RES,res2002056.pdf
RES - RESOLUÇÃO 056/2000,01/03/2000,"Autoriza a CSN Energia S.A, a comercializar energia elétrica no âmbito do Mercado Atacadista de Energia Elétrica - MAE.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000056.pdf,RES,res2000056.pdf
RES - RESOLUÇÃO 057/2003,03/02/2003,"Homologa as tarifas de fornecimento de energia elétrica, estabelece a receita anual referente às instalações de conexão e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE e as Tarifas de Uso dos Sistemas de Distribuição - TUSD, para o período fevereiro de 2003 a janeiro de 2004, para a Companhia Nacional de Energia Elétrica - CNEE.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003057.pdf,RES,res2003057.pdf
RES - RESOLUÇÃO 056/1998,04/03/1998,"Autoriza a Companhia Energética de Minas Gerais - CEMIG  aplicar em caráter experimental a Tarifa Amarela, no município de Juiz de Fora, (MG).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res1998056.pdf,RES,res1998056.pdf
RES - RESOLUÇÃO 057/2002,01/02/2002,"Homologa as tarifas de fornecimento de energia elétrica, estabelece a receita anual referente à instalações de conexão e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE, para o período fevereiro de 2002 a janeiro de 2003, para a Companhia Nacional de Energia Elétrica - CNEE, e revoga o valor da TFSEE para a mesma, fixado pelo Despacho SRE/ANEEL 1.044 de 26.12.2001.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002057.pdf,RES,res2002057.pdf
RES - RESOLUÇÃO 057/1998,05/03/1998,"Aprova os estudos de viabilidade apresentados pelo Grupo Itamarati, relativos ao Aproveitamento Hidrelétrico Ponte de Pedra, no rio Correntes, municípios de Itiquira, (MT) e Sonora, (MS).",ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res1998057.pdf,RES,res1998057.pdf
RES - RESOLUÇÃO 058/2003,03/02/2003,"Homologa as tarifas de fornecimento de energia elétrica, e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE e as Tarifas de Uso dos Sistemas de Distribuição - TUSD, para o período fevereiro de 2003 a janeiro de 2004, para a Companhia Força e Luz do Oeste - CFLO.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003058.pdf,RES,res2003058.pdf
RES - RESOLUÇÃO 059/2003,03/02/2003,"Homologa as tarifas de fornecimento de energia elétrica, estabelece a receita anual referente às instalações de conexão e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE e as Tarifas de Uso dos Sistemas de Distribuição - TUSD, para o período fevereiro de 2003 a janeiro de 2004, para a Companhia Luz e Força Santa Cruz - CLFSC.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003059.pdf,RES,res2003059.pdf
RES - RESOLUÇÃO 058/2002,01/02/2002,"Homologa as tarifas de fornecimento de energia elétrica, fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE, para o período fevereiro de 2002 a janeiro de 2003, para a Companhia Força e Luz do Oeste - CFLO, e revoga o valor da TFSEE para a mesma, fixado pelo Despacho SRE/ANEEL 1.044 de 26.12.2001.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002058.pdf,RES,res2002058.pdf
RES - RESOLUÇÃO 059/2002,01/02/2002,"Homologa as tarifas de fornecimento de energia elétrica, estabelece a receita anual referente à instalações de conexão e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE, para o período fevereiro de 2002 a janeiro de 2003, para a Companhia Luz e Força Santa Cruz - CLFSC, e revoga o valor da TFSEE para a mesma, fixado pelo Despacho SRE/ANEEL 1.044 de 26.12.2001.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002059.pdf,RES,res2002059.pdf
RES - RESOLUÇÃO 058/2000,16/03/2000,"Declara de utilidade pública, para fins de servidão administrativa, áreas de terra necessárias à implantação da Linha de Transmissão Ramal SE Jandaia, e para fins de desapropriação, área de terra necessária à implantação da subestação Jandaia, no município de Ribeirão Preto, (SP), em favor da Companhia Paulista de Força e Luz - CPFL.",ANEEL,"Declaração 
 ",http://www.aneel.gov.br/cedoc/res2000058.pdf,RES,res2000058.pdf
RES - RESOLUÇÃO 058/1999,08/04/1999,Homologa o reajuste de tarifas de fornecimento e suprimento de energia elétrica efetuado a consumidores finais pela  Companhia Energética de Minas Gerais - CEMIG.,ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res1999058.pdf,RES,res1999058.pdf
RES - RESOLUÇÃO 058/1998,05/03/1998,"Aprova os estudos de viabilidade apresentados pela Espírito Santo Centrais Elétricas S.A - ESCELSA, relativos a UHE São João, no rio Castelo, bacia do rio Itapemirim, nos municípios de Castelo e Conceição do Castelo, (ES).",ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res1998058.pdf,RES,res1998058.pdf
RES - RESOLUÇÃO 060/2003,03/02/2003,"Homologa as tarifas de fornecimento de energia elétrica para os municípios de Barra do Jacaré, Jacarezinho e Ribeirão Claro, (PR), atendidos pela Companhia Luz e Força Santa Cruz - CFLSC.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003060.pdf,RES,res2003060.pdf
RES - RESOLUÇÃO 060/2002,01/02/2002,"Homologa as tarifas de energia elétrica, vinculadas aos montantes de energia e demanda de potência entre a Companhia Luz e Força Santa Cruz e ELEKTRO Eletricidade e Serviços S.A.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002060.pdf,RES,res2002060.pdf
RES - RESOLUÇÃO 060/1998,06/03/1998,"Nomeia para exercer cargos em comissão de chefia de gabinete do Diretor - Geral, Superintendentes, Assessor Especial de Diretor e Assessor de Diretor.",ANEEL,"Nomeação 
 ",http://www.aneel.gov.br/cedoc/res1998060.pdf,RES,res1998060.pdf
RES - RESOLUÇÃO 061/2003,03/02/2003,"Homologa as tarifas de compra e venda de energia elétrica, vinculadas aos montantes de energia e demanda de potência estabelecidos entre a Companhia Luz e Força Santa Cruz - CLFSC e a Elektro Eletricidade e Serviços S.A - ELEKTRO.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003061.pdf,RES,res2003061.pdf
RES - RESOLUÇÃO 061/2002,01/02/2002,"Homologa as tarifas de energia elétrica, vinculadas aos contratos de compra e venda de energia elétrica, firmados entre a AES Tietê S.A, Empresa Elétrica Bragantina S.A e a Companhia Nacional de Energia Elétrica.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002061.pdf,RES,res2002061.pdf
REN - RESOLUÇÃO NORMATIVA 062/2004,06/05/2004,"Estabelece os procedimentos para o cálculo do montante, correspondente à energia de referência de empreendimento de geração de energia elétrica, para fins de contratação com a Centrais Elétricas Brasileiras S.A - ELETROBRÁS, no âmbito do Programa de Incentivo às Fontes Alternativas de Energia Elétrica - PROINFA; Revoga a Resolução 050 de 23.03.2004.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ren2004062.pdf,REN,ren2004062.pdf
RES - RESOLUÇÃO 061/2000,23/03/2000,"Autoriza a Cooperativa de Eletrificação Rural Castrolanda Ltda, a estabelecer-se como Produtor Independente de Energia Elétrica, mediante o aproveitamento do potencial hidráulico da Central Geradora Pesqueiro, no rio Jaguariaíva, município de Jaguariaíva, (PR).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000061.pdf,RES,res2000061.pdf
RES - RESOLUÇÃO 061/1998,06/03/1998,"Outorga e contrata novas concessões à Centrais Elétricas do Pará - CELPA, pelo prazo de 30 anos, para prestação de serviço público de geração e de distribuição de energia elétrica, para as áreas atualmente concedidas.",ANEEL,"Outorga 
 ",http://www.aneel.gov.br/cedoc/res1998061.pdf,RES,res1998061.pdf
RES - RESOLUÇÃO 062/2003,03/02/2003,"Homologa as tarifas de fornecimento de energia elétrica, estabelece a receita anual referente às instalações de conexão e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE e as Tarifas de Uso dos Sistemas de Distribuição - TUSD, para o período de fevereiro de 2003 a janeiro de 2004, para a Empresa de Eletricidade Vale Paranapanema S.A - EEVP.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003062.pdf,RES,res2003062.pdf
RES - RESOLUÇÃO 062/2002,01/02/2002,"Homologa as tarifas de fornecimento de energia elétrica, estabelece a receita anual referente à instalações de conexão e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE, para o período fevereiro de 2002 a janeiro de 2003, para a Empresa de Eletricidade Vale Paranapanema S.A - EEVP, e revoga o valor da TFSEE para a mesma, fixado pelo Despacho SRE/ANEEL 1.044 de 26.12.2001.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002062.pdf,RES,res2002062.pdf
RES - RESOLUÇÃO 062/2001,19/02/2001,Autoriza a Enertrade - Comercializadora de Energia S.A a comercializar energia elétrica no âmbito do Mercado Atacadista de Energia Elétrica - MAE.,ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2001062.pdf,RES,res2001062.pdf
RES - RESOLUÇÃO 062/2000,24/03/2000,"Autoriza a ELETRAM - Eletricidade da Amazônia S.A, a estabelecer-se como Produtor Independente de Energia Elétrica, mediante o aproveitamento do potencial hidráulico localizado no rio Braço Norte, municípios de Guarantã do Norte e Novo Mundo do Oeste, (MT).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000062.pdf,RES,res2000062.pdf
RES - RESOLUÇÃO 062/1998,06/03/1998,"Fixa os valores das quotas referentes aos dispêndios com combustíveis para a geração de energia elétrica, relativas ao mês de fevereiro de 1998, a serem recolhidos à Conta de Consumo de Combustíveis Fósseis - CCC, dos Sistemas Interligados Sul / Sudeste / Centro - Oeste, Norte / Nordeste e dos Sistemas Isolados.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res1998062.pdf,RES,res1998062.pdf
REN - RESOLUÇÃO NORMATIVA 063/2004,13/05/2004,"Aprova procedimentos para regular a imposição de penalidades aos concessionários, permissionários, autorizados e demais agentes de instalações e serviços de energia elétrica, bem como às entidades responsáveis pela operação do sistema, pela comercialização de energia elétrica e pela gestão de recursos provenientes de encargos setoriais; Revoga a Resolução 318 de 06.10.1998.",ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/ren2004063.pdf,REN,ren2004063.pdf
RES - RESOLUÇÃO 064/2002,06/02/2002,"Homologa as tarifas de energia elétrica, vinculadas aos montantes de energia e demanda de potência entre a Espírito Santo Centrais Elétricas S.A - ESCELSA e a Empresa Luz e Força Santa Maria.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002064.pdf,RES,res2002064.pdf
RES - RESOLUÇÃO 063/2003,05/02/2003,"Homologa o reajuste das tarifas de compra e venda de energia elétrica, vinculadas aos montantes de energia e demanda de potência estabelecidos entre CAIUÁ - Serviços de Eletricidade S.A e a Empresa Energética de Mato Grosso do Sul - ENERSUL.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003063.pdf,RES,res2003063.pdf
RES - RESOLUÇÃO 063/2002,04/02/2002,"Homologa as tarifas de fornecimento de energia elétrica da Companhia Luz e Força Santa Cruz - CLFSC, para os consumidores dos municípios de Barra do Jacaré, Jacarezinho e Ribeirão Claro, (PR).",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002063.pdf,RES,res2002063.pdf
RES - RESOLUÇÃO 064/2000,29/03/2000,"Autoriza a Maringá S.A. Cimento e Ferro - Liga, a comercializar o excedente de energia elétrica produzida pelas Pequenas Centrais Hidrelétricas Barra, Capote, Poço Preto, Santa Maria e São José.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000064.pdf,RES,res2000064.pdf
RES - RESOLUÇÃO 064/1998,16/03/1998,Determina que os concessionários e permissionários do serviço público de energia elétrica publiquem as demonstrações financeiras de cada exercício até o dia 25 de abril do ano seguinte.,ANEEL,"Determinação 
 ",http://www.aneel.gov.br/cedoc/res1998064.pdf,RES,res1998064.pdf
RES - RESOLUÇÃO 063/2000,27/03/2000,"Autoriza a transferência do bloco de controle acionário da Companhia de Geração de Energia Elétrica Tietê, para a AES Gás Empreendimentos Ltda.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000063.pdf,RES,res2000063.pdf
REN - RESOLUÇÃO NORMATIVA 065/2004,26/05/2004,"Estabelece a energia assegurada de Pequenas Centrais Hidrelétricas e a energia de referência de Usinas Eolioelétricas e Usinas Termelétricas, à biomassa, relacionadas em Anexo; e revoga as Resoluções 286 e 287 de 24.06.2003, 293 de 25.06.2003, 452 de 02.09.2003 e 526 de 08.10.2003.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ren2004065.pdf,REN,ren2004065.pdf
RES - RESOLUÇÃO 065/2003,06/02/2003,"Estabelece o valor das tarifas de uso das instalações componentes da rede básica, nos pontos de conexão com as instalações de transmissão não integrantes da rede básica, especificadas.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res2003065.pdf,RES,res2003065.pdf
RES - RESOLUÇÃO 065/2002,06/02/2002,"Homologa as tarifas de energia elétrica, vinculadas aos montantes de energia e demanda de potência entre a Centrais Elétricas de Santa Catarina S.A - CELESC e a Cooperativa Aliança - COOPERALIANÇA.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002065.pdf,RES,res2002065.pdf
RES - RESOLUÇÃO 065/2000,30/03/2000,"Homologa as tarifas de fornecimento de energia elétrica parta a Companhia Campolarguense de Energia - COCEL, correspondentes ao reajuste anual.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2000065.pdf,RES,res2000065.pdf
RES - RESOLUÇÃO 065/1999,16/04/1999,Fixa as tarifas de suprimento de energia elétrica para fins de faturamento do suprimento realizado pela Centrais Elétricas do Norte do Brasil S.A - ELETRONORTE à FURNAS Centrais Elétricas S.A.,ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res1999065.pdf,RES,res1999065.pdf
RES - RESOLUÇÃO 065/1998,16/03/1998,"Declara de utilidade pública, para fins de instituição de servidão administrativa em favor da Companhia Energética do Rio Grande do Norte - COSERN, área de terra localizada nos municípios de Parnamirim, São José de Mipibú, Açu e Macau, (RN).",ANEEL,"Declaração 
 ",http://www.aneel.gov.br/cedoc/res1998065.pdf,RES,res1998065.pdf
RES - RESOLUÇÃO 066/2003,06/02/2003,"Revoga a autorização concedida à Comenergy - Comercialização de Energia Ltda, pela Resolução ANEEL 259 de 05.07.2000, para comercializar energia elétrica, no âmbito do Mercado Atacadista de Energia Elétrica - MAE.",ANEEL,"Revogação 
 ",http://www.aneel.gov.br/cedoc/res2003066.pdf,RES,res2003066.pdf
RES - RESOLUÇÃO 066/2002,06/02/2002,"Homologa as tarifas de fornecimento de energia elétrica, fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE, para o período fevereiro de 2002 a janeiro de 2003, para a Empresa Luz e Força Santa Maria - ELFSM, e revoga o valor da TFSEE para a mesma, fixado pelo Despacho SRE/ANEEL 1.044 de 26.12.2001.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002066.pdf,RES,res2002066.pdf
RES - RESOLUÇÃO 066/2000,30/03/2000,"Homologa as tarifas de fornecimento de energia elétrica para a Empresa Força e Luz João Cesa Ltda, correspondentes ao reajuste anual.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2000066.pdf,RES,res2000066.pdf
RES - RESOLUÇÃO 066/1998,16/03/1998,"Declara de utilidade pública, para fins de instituição de servidão administrativa, em favor da Companhia Hidro Elétrica do São Francisco - CHESF, área de terra localizada em Fortaleza, Maracanaú e Caucaia, (CE).",ANEEL,"Declaração 
 ",http://www.aneel.gov.br/cedoc/res1998066.pdf,RES,res1998066.pdf
REN - RESOLUÇÃO NORMATIVA 067/2004,11/06/2004,"Estabelece os critérios para composição da rede básica do Sistema Interligado Nacional - SIN, e altera os arts. 18 e 21 da Resolução ANEEL 281 de 01.10.1999; Revoga a Resolução 433 de 10.11.2000.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ren2004067.pdf,REN,ren2004067.pdf
RES - RESOLUÇÃO 067/2003,06/02/2003,"Declara de utilidade pública, para fins de instituição de servidão administrativa em favor da Companhia Estadual de Energia Elétrica - CEEE, áreas de terras necessárias à passagem do ramal de Linha de Transmissão, Ramal Isdralit - circuitos I e II, no município de Glorinha, (RS).",ANEEL,"Declaração 
 ",http://www.aneel.gov.br/cedoc/res2003067.pdf,RES,res2003067.pdf
RES - RESOLUÇÃO 067/2002,06/02/2002,"Homologa as tarifas de fornecimento de energia elétrica, fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE, para o período fevereiro de 2002 a janeiro de 2003, para a Cooperativa Aliança - COOPERALIANÇA, e revoga o valor da TFSEE para a mesma, fixado pelo Despacho SRE/ANEEL 1.044 de 26.12.2001.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2002067.pdf,RES,res2002067.pdf
RES - RESOLUÇÃO 067/2001,23/02/2001,"Estabelece o procedimento para o cálculo e recolhimento da compensação financeira pela utilização de recursos hídricos, devida pelos concessionários e autorizados de geração hidrelétrica, dá outras providências e revoga as Portarias DNAEE 304 de 29.04.1993, 827 de 20.07.1993 e as disposições da Portaria 033 de 02.03.1995, que com esta conflitarem.",ANEEL,"Procedimento 
 ",http://www.aneel.gov.br/cedoc/res2001067.pdf,RES,res2001067.pdf
RES - RESOLUÇÃO 067/2000,30/03/2000,"Homologa as tarifas de fornecimento de energia elétrica para a Empresa Força e Luz de Urussanga Ltda, correspondentes ao reajuste anual.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2000067.pdf,RES,res2000067.pdf
REN - RESOLUÇÃO NORMATIVA 068/2004,11/06/2004,"Estabelece os procedimentos para a implementação de reforços nas demais instalações de transmissão, não integrantes da rede básica, e para a expansão das instalações de transmissão de âmbito próprio, de interesse sistêmico, das concessionárias ou permissionárias de distribuição de energia elétrica; Revoga a Resolução 489 de 29.08.2002.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ren2004068.pdf,REN,ren2004068.pdf
RES - RESOLUÇÃO 068/2003,06/02/2003,"Estabelece a energia assegurada referente a Pequena Central Hidrelétrica Passo do Meio, no rio das Antas, municípios de Bom Jesus e São Francisco de Paula, (RS).",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res2003068.pdf,RES,res2003068.pdf
RES - RESOLUÇÃO 068/2002,07/02/2002,"Autoriza a Companhia Energética de Minas Gerais - CEMIG a implantar a Subestação Seccionadora Bom Despacho 3, no município de Bom Despacho, (MG), e estabelece os valores das receitas anuais permitidas para os reforços de transmissão.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2002068.pdf,RES,res2002068.pdf
RES - RESOLUÇÃO 069/2003,06/02/2003,"Homologa as tarifas de fornecimento de energia elétrica, e fixa os valores da Taxa de Fiscalização dos Serviços de Energia Elétrica - TFSEE e as Tarifas de Uso dos Sistemas de Distribuição - TUSD, para o período de fevereiro de 2003 a janeiro de 2004, para a Empresa Luz e Força Santa Maria S.A  - ELFSM.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2003069.pdf,RES,res2003069.pdf
RES - RESOLUÇÃO 068/2000,31/03/2000,Fixa as tarifas de energia no curto prazo a serem praticadas pelos concessionários e autorizados integrantes do sistema elétrico interligado.,ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res2000068.pdf,RES,res2000068.pdf
RES - RESOLUÇÃO 069/2000,31/03/2000,"Homologa a revisão das tarifas de fornecimento de energia elétrica referente a aplicação da elevação da Contribuição para o Financiamento da Seguridade Social - COFINS, para Empresa Elétrica Bragantina S.A - BRAGANTINA.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2000069.pdf,RES,res2000069.pdf
REN - RESOLUÇÃO NORMATIVA 070/2004,01/07/2004,"Estabelece as receitas anuais permitidas para as concessionárias de transmissão de energia elétrica, pela disponibilização das instalações de transmissão, integrantes da rede básica, e das demais instalações de transmissão.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ren2004070.pdf,REN,ren2004070.pdf
